"rotten_tomatoes_link","critic_name","top_critic","publisher_name","review_type","review_score","review_date","review_content","letter_grade","numeric_score","binary_score_numeric","normalized_score"
"m/1144274-sahara","","False","Empire Magazine","Fresh","3/5","2006-04-01","",NA,6,1,0.0117473793087968
"m/1144585-inheritance","","False","E! Online","Fresh","","2004-10-15","Fly's point is that private morality has public consequences. And this film's major achievement is making us understand just that.","A-",8,1,0.877255681632622
"m/1144622-moog","","True","Los Angeles Times","Fresh","3/5","2004-11-12","Fjellestad exhibits a playful adoration for the man and the otherworldly sounds of his machine in an intriguing rendering of one of music technology's seminal figures.",NA,6,1,0.0117473793087968
"m/1144622-moog","","False","Empire Magazine","Rotten","2/5","2006-04-01","",NA,4,0,-0.853760923015028
"m/1144992-crash","","False","E! Online","Rotten","","2005-05-06","Everything feels pat, and the result leaves you feeling a bit cheated.",NA,NA,0,NA
"m/1146572-honeymooners","","False","E! Online","Rotten","","2005-06-10","Straight to the moon? Um, more like right to the video store.","C-",2,0,-1.71926922533885
"m/1146572-honeymooners","","False","Hartford Courant","Rotten","1/5","2005-06-18","",NA,2,0,-1.71926922533885
"m/1146572-honeymooners","","False","Baltimore Sun","Rotten","1.5/4","2005-06-18","",NA,3.75,0,-0.961949460805507
"m/1146572-honeymooners","","False","Bullz-Eye.com","Rotten","2.5/5","2005-07-05","",NA,5,0,-0.421006771853116
"m/1146673-1146673-stealth","","False","Hartford Courant","Rotten","0/5","2005-07-29","",NA,0,0,-2.58477752766268
"m/1146673-1146673-stealth","","False","Baltimore Sun","Rotten","2.5/4","2005-07-29","",NA,6.25,0,0.119935917099275
"m/1146673-1146673-stealth","","False","Empire Magazine","Fresh","3/5","2005-08-05","",NA,6,1,0.0117473793087968
"m/1149472-skeleton_key","","True","USA Today","Rotten","2.5/4","2005-08-12","This is essentially a haunted-house horror flick that starts off with effectively eerie scenes but devolves into a forced and mildly ridiculous ghost story.",NA,6.25,0,0.119935917099275
"m/1149472-skeleton_key","","False","Baltimore Sun","Rotten","2.5/4","2005-08-13","",NA,6.25,0,0.119935917099275
"m/1149472-skeleton_key","","False","Hartford Courant","Rotten","2/5","2005-08-13","",NA,4,0,-0.853760923015028
"m/1149472-skeleton_key","","False","Bullz-Eye.com","Rotten","2.5/5","2005-08-13","",NA,5,0,-0.421006771853116
"m/1149472-skeleton_key","","False","Film Threat","Rotten","2.5/5","2005-12-06","",NA,5,0,-0.421006771853116
"m/1149496-1149496-red_eye","","False","Boston Phoenix","Rotten","2/5","2005-08-19","One to watch on an airplane with the sound off.",NA,4,0,-0.853760923015028
"m/1149496-1149496-red_eye","","False","Baltimore Sun","Fresh","3/4","2005-08-20","",NA,7.5,1,0.660878606051666
"m/1149496-1149496-red_eye","","False","Hartford Courant","Fresh","4/5","2005-08-20","",NA,8,1,0.877255681632622
"m/1149496-1149496-red_eye","","True","Sydney Morning Herald","Fresh","","2005-09-02","Rare these days is the thriller that takes its time, allowing us to get comfortable with the characters before starting the chase or inducing the shocks.",NA,NA,1,NA
"m/1149496-1149496-red_eye","","False","Orlando Weekly","Rotten","","2005-09-08","It's all too big and too self-conscious, culminating in a third-act chase that makes one preposterous move after another.",NA,NA,0,NA
"m/1149496-1149496-red_eye","","False","Empire Magazine","Fresh","3/5","2006-01-07","Not the most sophisticated psychological thriller, yet slick fun deftly handled by Craven and his leads.",NA,6,1,0.0117473793087968
"m/1150926-wall","","False","Film Threat","Fresh","3.5/5","2005-12-06","",NA,7,1,0.444501530470709
"m/1151490-bomb_the_system","","False","E! Online","Rotten","","2005-05-27","This fictional take on the subject mostly avoids bombing in the bad-movie sense, but could stand to calm down a little.",NA,NA,0,NA
"m/1151769-hellbent","","True","Dallas Morning News","Rotten","","2005-10-01","","F",0,0,-2.58477752766268
"m/1151769-hellbent","","False","Film Threat","Fresh","4/5","2005-12-06","",NA,8,1,0.877255681632622
"m/1151780-venom","","True","Time Out","Rotten","","2006-06-24","The slasher clichés on reshuffle are old enough to predate the births of most of the flick's nubile victims-to-be, including tight-T-shirt wearer Agnes Bruckner.",NA,NA,0,NA
"m/1151898-capote","","False","E! Online","Fresh","","2005-09-30","Movies don't get much better than this.","A",9,1,1.31000983279453
"m/1151898-capote","","False","Film Threat","Fresh","5/5","2006-01-17","",NA,10,1,1.74276398395645
"m/1151898-capote","","False","Empire Magazine","Fresh","5/5","2006-04-01","",NA,10,1,1.74276398395645
"m/1151916-1151916-nine_lives","","False","E! Online","Fresh","","2005-10-14","Yes, there's too much to mention. Good thing it's a pleasure to keep up with these women, even when their superior acting is needed to overcome the inferior material.","B+",7,1,0.444501530470709
"m/1151916-1151916-nine_lives","","False","Oregonian","Fresh","","2005-10-28","The snaky cinematography pulls you through even when the writing doesn't, and the best performances keep you hoping that you'll feel the next one or the one after that just as powerfully.","B",6,1,0.0117473793087968
"m/1151946-festival","","False","Empire Magazine","Fresh","3/5","2006-04-01","The atmosphere of the festival is effectively portrayed ... and there are few decent laughs.",NA,6,1,0.0117473793087968
"m/1151946-festival","","False","ScreenAnarchy","Rotten","","2007-04-17","For the most part, the stories are completely unrelated and therefore suffer from a feeling that some of the strands are completely redundant.",NA,NA,0,NA
"m/1152019-good_night_and_good_luck","","False","E! Online","Fresh","","2005-10-07","God bless George Clooney.","A",9,1,1.31000983279453
"m/1152019-good_night_and_good_luck","","False","Hollywood.com","Rotten","2.5/4","2005-10-08","Except in a few rare moments, the film remains more of a dry history lesson than a movie in its own right.",NA,6.25,0,0.119935917099275
"m/1152189-kids_in_america","","False","Hartford Courant","Rotten","2/5","2005-10-22","",NA,4,0,-0.853760923015028
"m/1152189-kids_in_america","","False","E! Online","Rotten","","2005-10-28","Why did anyone bother making a teen movie after Heathers? No, really, why?","D",1,0,-2.15202337650077
"m/1152276-rent","","True","Houston Chronicle","Rotten","1.5/4","2005-11-28","A mediocre, unimaginative, inefficient filmmaker, Columbus delivers a Rent that isn't so much bad as perfunctory.",NA,3.75,0,-0.961949460805507
"m/1152276-rent","","False","Bullz-Eye.com","Fresh","3/5","2005-12-06","",NA,6,1,0.0117473793087968
"m/1152276-rent","","False","Empire Magazine","Rotten","2/5","2006-04-07","",NA,4,0,-0.853760923015028
"m/1152567-jarhead","","False","Empire Magazine","Fresh","3/5","2006-04-01","",NA,6,1,0.0117473793087968
"m/1152954-new_world","","True","TIME Magazine","Fresh","","2005-12-16","This is no breathless film fantasy; its pulse is stately, contemplative. But anyone who has keen eyes and an open heart will surely go soaring and crashing with the lovers lost in Malick's exotic, erotic new world.",NA,NA,1,NA
"m/1152954-new_world","","False","Bullz-Eye.com","Rotten","1/5","2006-01-21","",NA,2,0,-1.71926922533885
"m/1153077-1153077-pride_and_prejudice","","False","E! Online","Fresh","","2005-11-23","... Pride is Knightley's proudest moment.","A",9,1,1.31000983279453
"m/1153228-the_ringer","","False","Bullz-Eye.com","Fresh","3/5","2006-01-14","",NA,6,1,0.0117473793087968
"m/1153228-the_ringer","","False","Empire Magazine","Fresh","3/5","2006-04-01","",NA,6,1,0.0117473793087968
"m/1153341-breakfast_on_pluto","","False","E! Online","Rotten","","2005-11-18","The cast, camerawork and soundtrack are outta this world, but Pluto's orbit is too erratic to make this offbeat odyssey worth the journey.","C+",4,0,-0.853760923015028
"m/1153341-breakfast_on_pluto","","False","Empire Magazine","Fresh","3/5","2006-04-01","",NA,6,1,0.0117473793087968
"m/1153907-football_factory","","False","Empire Magazine","Fresh","4/5","2004-05-29","",NA,8,1,0.877255681632622
"m/1153951-curious_george","","False","Hartford Courant","Fresh","3/5","2006-02-11","",NA,6,1,0.0117473793087968
"m/1153951-curious_george","","True","Sydney Morning Herald","Rotten","2.5/5","2006-08-18","It's harmless, colourful fun, but even the very young are used to better.",NA,5,0,-0.421006771853116
"m/1154157-big_mommas_house_2","","True","USA Today","Rotten","2/4","2006-01-26","While there are moments of raucous humor, there's too much sentimental fluff.",NA,5,0,-0.421006771853116
"m/1154157-big_mommas_house_2","","False","Bullz-Eye.com","Rotten","1/5","2006-05-12","",NA,2,0,-1.71926922533885
"m/1154478-pariah","","False","Boxoffice Magazine","Fresh","3/4","2002-06-05","Randolph Kret['s ...] direction forcefully shows how the raw hatred of the skinheads regularly explodes into shocking brutality.",NA,7.5,1,0.660878606051666
"m/1154478-pariah","","False","Film Threat","Rotten","2.5/5","2002-12-08","Pariah is [...] a brave, in-your-face attempt to handle a very tough, highly unattractive subject. The result is a commendable, if unpleasant, near miss.",NA,5,0,-0.421006771853116
"m/1155109-hoodwinked","","False","Future Movies UK","Rotten","5/10","2006-09-30","",NA,5,0,-0.421006771853116
"m/1155467-glory_road","","False","Bullz-Eye.com","Fresh","4/5","2006-01-14","",NA,8,1,0.877255681632622
"m/1155470-date_movie","","False","Hartford Courant","Rotten","1/5","2006-02-25","",NA,2,0,-1.71926922533885
"m/1155622-why_we_fight","","True","Time Out","Fresh","","2006-06-24","Extremely timely and urgently relevant.",NA,NA,1,NA
"m/1156246-casanova","","False","Bullz-Eye.com","Fresh","4/5","2006-01-07","",NA,8,1,0.877255681632622
"m/1156246-casanova","","False","Future Movies UK","Rotten","5/10","2006-02-22","",NA,5,0,-0.421006771853116
"m/1156246-casanova","","False","Empire Magazine","Rotten","2/5","2006-04-01","",NA,4,0,-0.853760923015028
"m/1156283-doogal","","False","Los Angeles Daily News","Rotten","1/4","2006-02-27","This is a movie that is trying so hard to be hip, it forces Stewart, as the villainous sorcerer, to rhapsodize about how he'll buy a blue Hummer once he takes over the world, which he punctuates with an awkward cry of 'Boo-yah!'",NA,2.5,0,-1.5028921497579
"m/1156285-summer_storm","","False","Film Threat","Fresh","4/5","2007-01-16","",NA,8,1,0.877255681632622
"m/1156587-clean","","False","Empire Magazine","Rotten","2/5","2005-07-05","Bit of a mediocre drama from writer-director Assayas despite some good turns, not least from Nick Nolte and Beatrice Dalle.",NA,4,0,-0.853760923015028
"m/1156587-clean","","True","Time Out","Fresh","","2006-06-24","The film locates its heart muscle, however, in its performances.",NA,NA,1,NA
"m/1156599-panic_in_needle_park","","True","Time Out","Fresh","","2006-06-24","A gruelling but highly responsible film about the influence of heroin on a New York street romance.",NA,NA,1,NA
"m/1157810-evil","","False","Empire Magazine","Fresh","3/5","2006-03-25","Solid enough, its main flaw is a sense of restraint -- it never quite ventures into the surreal darkness of the obviously comparable If...",NA,6,1,0.0117473793087968
"m/1158179-devil_and_daniel_johnston","","False","Bullz-Eye.com","Fresh","4/5","2006-09-23","",NA,8,1,0.877255681632622
"m/1158528-goal","","False","Hartford Courant","Rotten","2/5","2006-05-13","",NA,4,0,-0.853760923015028
"m/1158528-goal","","False","Bullz-Eye.com","Fresh","3.5/5","2006-05-13","",NA,7,1,0.444501530470709
"m/1158528-goal","","True","Dallas Morning News","Rotten","","2006-05-20","","D",1,0,-2.15202337650077
"m/1158609-dark","","False","Empire Magazine","Rotten","1/5","2007-02-10","",NA,2,0,-1.71926922533885
"m/1158918-sleeping_dogs_lie","","True","Little White Lies","Fresh","","2007-03-16","Despite being thin on laughs and light on conventional romance, Sleeping Dogs manages to be both warm and witty.",NA,NA,1,NA
"m/1159122-christmas_in_the_clouds","","True","Houston Chronicle","Fresh","2.5/4","2005-12-27","A spin on familiar material, it's aimed at those who like their movies on the warm side.",NA,6.25,1,0.119935917099275
"m/1159135-hoax","","False","Baltimore Sun","Fresh","","2007-04-07","","A-",8,1,0.877255681632622
"m/1159169-for_your_consideration","","False","Bullz-Eye.com","Rotten","2.5/5","2006-11-17","",NA,5,0,-0.421006771853116
"m/1159169-for_your_consideration","","False","Hartford Courant","Fresh","3/5","2006-11-25","",NA,6,1,0.0117473793087968
"m/1159632-blue_butterfly","","False","Film Threat","Rotten","1/5","2004-05-04","",NA,2,0,-1.71926922533885
"m/1161005-straight_into_darkness","","False","Film Threat","Fresh","4/5","2004-01-12","",NA,8,1,0.877255681632622
"m/1161005-straight_into_darkness","","False","Film Threat","Fresh","4/5","2006-06-03","",NA,8,1,0.877255681632622
"m/1161542-look_both_ways","","True","Dallas Morning News","Fresh","","2006-06-24","","A-",8,1,0.877255681632622
"m/1161913-big_white","","False","Empire Magazine","Rotten","2/5","2006-04-01","",NA,4,0,-0.853760923015028
"m/1162559-bobby","","False","Bullz-Eye.com","Fresh","3.5/5","2006-11-18","",NA,7,1,0.444501530470709
"m/1164119-breed","","False","Daily Mirror (UK)","Rotten","1/5","2007-04-27","There hasn(TM)t been a decent killer dog movie since 1983(TM)s Cujo and The Breed doesn(TM)t break the run.",NA,2,0,-1.71926922533885
"m/1164119-breed","","True","BBC.com","Rotten","2/5","2007-04-27","The script is at times, laughable, and generally it's the four-legged actors putting in the best performances.",NA,4,0,-0.853760923015028
"m/1164582-trade","","False","Hollywood.com","Rotten","2.5/4","2007-09-29","",NA,6.25,0,0.119935917099275
"m/1164582-trade","","True","Independent (UK)","Rotten","2/5","2008-12-12","Jose Rivera's script plays uneasily, as do some of the directorial flourishes: the shots of rose stems and caged birds are galumphingly emphatic at moments that need no underlining.",NA,4,0,-0.853760923015028
"m/1166140-abominable","","False","Bullz-Eye.com","Fresh","3.5/5","2007-03-03","",NA,7,1,0.444501530470709
"m/1166376-woods","","False","Film Threat","Fresh","3.5/5","2006-09-30","",NA,7,1,0.444501530470709
"m/1167811-ballets_russes","","False","E! Online","Fresh","","2005-11-11","Even if you don't know anything about ballet, this amazing documentary will leave you walking on air.","A",9,1,1.31000983279453
"m/1167811-ballets_russes","","False","Empire Magazine","Fresh","3/5","2006-05-06","",NA,6,1,0.0117473793087968
"m/1168301-death_and_texas","","False","Film Threat","Fresh","3/5","2006-11-04","",NA,6,1,0.0117473793087968
"m/1169203-invisible","","False","Baltimore Sun","Fresh","","2007-04-28","","B-",5,1,-0.421006771853116
"m/1169498-bridge","","True","Times (UK)","Rotten","2/5","2007-02-16","It's gripping viewing but you feel like a voyeur of somebody else's pain. After a while you may feel that you're watching a particularly scenic snuff film.",NA,4,0,-0.853760923015028
"m/1171939-perfect_stranger","","False","Baltimore Sun","Rotten","","2007-04-14","","C+",4,0,-0.853760923015028
"m/1171939-perfect_stranger","","False","Bullz-Eye.com","Rotten","1.5/5","2007-04-28","",NA,3,0,-1.28651507417694
"m/1174278-definitely_maybe","","False","Empire Magazine","Fresh","4/5","2008-02-08","Sweet, funny, simple, entertaining -- everything a good rom-com should be. Definitely...",NA,8,1,0.877255681632622
"m/1174278-definitely_maybe","","False","National Post","Rotten","2.5/4","2008-02-15","",NA,6.25,0,0.119935917099275
"m/1174278-definitely_maybe","","False","Bullz-Eye.com","Fresh","3.5/5","2008-10-18","",NA,7,1,0.444501530470709
"m/1174809-silk","","False","The Sun (UK)","Rotten","2/5","2007-11-09","THE new Keira Knightley film is a visual delight. Unfortunately, the dialogue is far from delightful.",NA,4,0,-0.853760923015028
"m/1175072-license_to_wed","","False","The Sun (UK)","Fresh","3/5","2007-08-10","The comedy, starring Robin Williams as a reverend who won't marry couples until they have passed several ridiculous tests, raised a good few laughs.",NA,6,1,0.0117473793087968
"m/1175072-license_to_wed","","False","Daily Mirror (UK)","Rotten","","2007-08-10","I now pronounce Licence To Wed a total flop.",NA,NA,0,NA
"m/1175076-fred_claus","","False","Bullz-Eye.com","Rotten","2/5","2007-11-17","",NA,4,0,-0.853760923015028
"m/1175076-fred_claus","","False","Total Film","Rotten","1/5","2007-11-29","More no no no than ho ho ho, Vince Vaughn's crime against cinema is a worthy winner of this year's Deck The Halls prize for least welcome Christmas present. Make no mistake: Fred Claus is the real Bad Santa.",NA,2,0,-1.71926922533885
"m/1175076-fred_claus","","False","The Sun (UK)","Fresh","3/5","2007-11-30","DICK VAN DYKE had an excuse for doing a terrible Cockney accent in Mary Poppins - he is American. But how Brit Rachel Weisz can explain her ""you wot"" effort in Fred Claus is anyone's guess.",NA,6,1,0.0117473793087968
"m/1175076-fred_claus","","False","Daily Mirror (UK)","Fresh","3/5","2007-11-30","It's not exactly It's A Wonderful Life, with Vaughn's trademark blokeishness starting to jar, Giamatti strangely miserable and the laughs generally thin on the ground.",NA,6,1,0.0117473793087968
"m/1175079-antibodies","","True","Time Out","Rotten","2/6","2007-02-17","",NA,3.33333333333333,0,-1.1422636904563
"m/1175178-jane_austen_book_club","","False","The Sun (UK)","Fresh","3/5","2007-11-16","THIS beautifully acted story is, underneath it all, a fairly formulaic chick flick.",NA,6,1,0.0117473793087968
"m/1175178-jane_austen_book_club","","False","Daily Mirror (UK)","Fresh","3/5","2007-11-16","Positively marinated in oestrogen, this is aimed at middle-aged females - the more unhappily married the better - with the cardiganed cast spending much of the running time drinking tea on verandas and moaning about men over their knitting.",NA,6,1,0.0117473793087968
"m/1175569-lars_and_the_real_girl","","False","Bullz-Eye.com","Fresh","3.5/5","2008-10-18","",NA,7,1,0.444501530470709
"m/1175905-tortilla_heaven","","False","Film Threat","Rotten","2.5/5","2007-03-27","",NA,5,0,-0.421006771853116
"m/1177708-descent","","False","Bullz-Eye.com","Fresh","4/5","2011-04-04","",NA,8,1,0.877255681632622
"m/1177781-1177781-rally_round_the_flag_boys","","True","Time Out","Rotten","","2006-02-09","It backfires grandly.",NA,NA,0,NA
"m/1177781-1177781-rally_round_the_flag_boys","","False","TV Guide","Rotten","2/4","2008-06-17","Newman's first comedy should have been his last. Gratuitous and dubious sexuality makes this a poor bet for youngsters.",NA,5,0,-0.421006771853116
"m/1178348-the_last_time","","True","Time Out","Rotten","1/6","2007-07-21","",NA,1.66666666666667,0,-1.86352060905949
"m/1178444-take","","False","Deseret News (Salt Lake City)","Fresh","3.5/4","2008-01-25","Writer/director Charles Oliver, in his first feature-length film, has captured the essence of how forgiveness frees the soul.",NA,8.75,1,1.20182129500406
"m/1178913-1178913-you_kill_me","","False","The Sun (UK)","Fresh","3/5","2007-12-07","Kingsley shows a surprising talent for deadpan comic delivery.",NA,6,1,0.0117473793087968
"m/1178913-1178913-you_kill_me","","False","Daily Mirror (UK)","Fresh","3/5","2007-12-07","A fitfully amusing black comedy about an alcoholic assassin, its well-drawn characters drown in a generic gangster plot and a painfully low budget.",NA,6,1,0.0117473793087968
"m/1178913-1178913-you_kill_me","","True","Little White Lies","Rotten","","2007-12-07","A badly written hash of a film, which will struggle to please even the most devout Sir Ben fans.",NA,NA,0,NA
"m/1183674-hunting_party","","False","Bullz-Eye.com","Fresh","3/5","2008-10-18","",NA,6,1,0.0117473793087968
"m/1184827-alvin_and_the_chipmunks","","True","Entertainment Weekly","Rotten","","2007-12-14","","C+",4,0,-0.853760923015028
"m/1184827-alvin_and_the_chipmunks","","True","Time Out","Rotten","2/6","2007-12-20","The musical numbers are initially appealing - think close harmonies and smart foot stepping to the likes of 'Funkytown' - but the novelty is likely to wear thin for adults when the 'munks get kitted out as a street boy band.",NA,3.33333333333333,0,-1.1422636904563
"m/1184827-alvin_and_the_chipmunks","","False","The Sun (UK)","Fresh","4/5","2007-12-21","Kids will be nuts about this chipmunk movie.",NA,8,1,0.877255681632622
"m/1184827-alvin_and_the_chipmunks","","False","Daily Mirror (UK)","Fresh","4/5","2007-12-21","While sure to secretly entertain the child in all us adults, here's a flick absolutely guaranteed to entrance the under-10s.",NA,8,1,0.877255681632622
"m/1184827-alvin_and_the_chipmunks","","False","Total Film","Rotten","2/5","2007-12-21","Trite family values, mediocre CGI and a shallow anti-exploitation message do little to fill the fun-gap. Still, hard to deny the buck-toothed buggers their one moment of glory: an a cappella take on 'Funkytown'.",NA,4,0,-0.853760923015028
"m/1184827-alvin_and_the_chipmunks","","False","Bullz-Eye.com","Rotten","2.5/5","2008-10-18","",NA,5,0,-0.421006771853116
"m/1185677-dear_pillow","","False","Film Threat","Fresh","3.5/5","2004-09-04","",NA,7,1,0.444501530470709
"m/1185677-dear_pillow","","False","Film Threat","Fresh","4/5","2004-09-04","",NA,8,1,0.877255681632622
"m/1185677-dear_pillow","","False","Film Threat","Fresh","3.5/5","2005-12-06","",NA,7,1,0.444501530470709
"m/1185677-dear_pillow","","False","Film Threat","Fresh","4/5","2005-12-06","",NA,8,1,0.877255681632622
"m/1185801-the_express","","False","Bullz-Eye.com","Fresh","3/5","2008-10-18","",NA,6,1,0.0117473793087968
"m/1185801-the_express","","False","National Post","Rotten","2.5/4","2008-10-18","",NA,6.25,0,0.119935917099275
"m/1186122-broken","","True","Los Angeles Times","Rotten","1.5/5","2007-10-19","Broken is a pretentiously time-fragmented, tedious slog.",NA,3,0,-1.28651507417694
"m/1187621-itty_bitty_titty_committee","","False","Film Threat","Fresh","3.5/5","2007-10-02","",NA,7,1,0.444501530470709
"m/1188215-blindness","","False","National Post","Fresh","3/4","2008-09-09","",NA,7.5,1,0.660878606051666
"m/1188215-blindness","","False","Empire Magazine","Fresh","3/5","2008-11-21","Handicapped by pretensions to making big statements, Blindness is still gripping, disturbing and intermittently powerful.",NA,6,1,0.0117473793087968
"m/1188215-blindness","","False","Daily Mirror (UK)","Rotten","1/5","2008-11-21","Boy, this is bad. And I mean walk-out-of-the-cinema bad. So awful, in fact, that its dullness, pomposity and sheer gloominess are among the film's better points.",NA,2,0,-1.71926922533885
"m/1188215-blindness","","False","The Sun (UK)","Rotten","2/5","2008-11-21","Only after the audience has experienced the darkness of humankind's soul do we start to see the light. Or at least that seems to be the message. The problem is that by the time hope arrived, The Sneak's heart was too heavy to be lifted.",NA,4,0,-0.853760923015028
"m/1188215-blindness","","False","Empire Magazine","Fresh","3/5","2008-11-21","Gripping, disturbing and intermittently powerful.",NA,6,1,0.0117473793087968
"m/1188347-mad_money","","False","Bullz-Eye.com","Rotten","1.5/5","2008-10-18","",NA,3,0,-1.28651507417694
"m/1188732-haunting_in_connecticut","","False","National Post","Rotten","2/4","2009-03-27","",NA,5,0,-0.421006771853116
"m/1189217-angels_and_demons","","False","The Sun (UK)","Rotten","2/5","2009-05-15","The film could have been a lot worse. Director Ron Howard has ejected some of the book's more outlandish twists and tells the story at such a swift pace that it is impossible to be bored.",NA,4,0,-0.853760923015028
"m/1189217-angels_and_demons","","False","The Mail on Sunday (UK)","Fresh","4/5","2009-05-17","It's a fine action thriller with a historical plot, but I'd strongly advise fans to read the novel too. It fills out a much more detailed plot. For a bit of lightweight fun, though, you won't go wrong here.",NA,8,1,0.877255681632622
"m/1189344-lovely_bones","","False","National Post","Rotten","2/4","2009-12-11","",NA,5,0,-0.421006771853116
"m/1189344-lovely_bones","","True","Daily Telegraph (UK)","Rotten","1/5","2010-02-19","It's an extraordinary folly. A turkey, a pig's ear, a mad cow of a film. Its treatment of bereavement and familial grief is crazier than anything Lars Von Trier came up with in Antichrist.",NA,2,0,-1.71926922533885
"m/1189344-lovely_bones","","False","Digital Spy","Rotten","2/5","2010-02-19","It's not [Jackson's] Technicolor screensaver design for heaven that really dents the credibility of the film. It's that he glosses over those parts of story which made Sebold's book so relatable for us mortals.",NA,4,0,-0.853760923015028
"m/1189344-lovely_bones","","False","Liverpool Echo","Rotten","","2010-02-19","The Lovely Bones is hampered by Wahlberg's inability to convey genuine emotion.",NA,NA,0,NA
"m/1189344-lovely_bones","","False","Scotsman","Rotten","2/5","2010-02-23","Is there an iPhone App for the afterlife? If not, the celestial CGI that Peter Jackson deploys to cringe-worthy effect in The Lovely Bones could probably suffice.",NA,4,0,-0.853760923015028
"m/1189844-the_bank_job","","False","thelondonpaper","Fresh","3/5","2008-02-29","Exciting and silly fun - but like the heist itself, you'll wonder if it was worth it.",NA,6,1,0.0117473793087968
"m/1189844-the_bank_job","","False","The Sun (UK)","Fresh","4/5","2008-02-29","The best of British.",NA,8,1,0.877255681632622
"m/1190296-zack_and_miri_make_a_porno","","False","National Post","Rotten","2/4","2008-09-09","",NA,5,0,-0.421006771853116
"m/1190296-zack_and_miri_make_a_porno","","False","Daily Mirror (UK)","Fresh","4/5","2008-11-14","What I should add is that it's the funniest one I have seen in ages. And while it does feature an awful lot of swearing and cheerfully bad taste comic moments, it is also engagingly sentimental and sweetly romantic.",NA,8,1,0.877255681632622
"m/1190296-zack_and_miri_make_a_porno","","False","The Sun (UK)","Rotten","2/5","2008-11-14","There are a couple of laugh-out-loud moments but messy direction means this X-rated romcom should stay under the counter.",NA,4,0,-0.853760923015028
"m/1190660-over_my_dead_body","","True","Entertainment Weekly","Rotten","","2008-02-01","","C-",2,0,-1.71926922533885
"m/1190660-over_my_dead_body","","False","Bullz-Eye.com","Rotten","1/5","2008-10-18","",NA,2,0,-1.71926922533885
"m/1190964-imagine_that","","False","Bullz-Eye.com","Fresh","3/5","2009-06-12","",NA,6,1,0.0117473793087968
"m/1190964-imagine_that","","False","National Post","Fresh","3/4","2009-06-12","",NA,7.5,1,0.660878606051666
"m/1190964-imagine_that","","False","Irish Times","Fresh","3/5","2009-06-12","",NA,6,1,0.0117473793087968
"m/1190964-imagine_that","","True","London Evening Standard","Rotten","","2009-08-17","It's anodyne stuff and not funny enough.",NA,NA,0,NA
"m/1190970-ghost_town","","False","The Sun (UK)","Fresh","4/5","2008-10-24","Gervais is funny again. Maybe because this isn't his script and his ad-libbing has been reined in.",NA,8,1,0.877255681632622
"m/1191742_changeling","","False","Total Film","Fresh","3/5","2008-11-28","Eastwood's own score aids and abets the process, ladling washes of mournful gloop over a glut of emotional scenes.",NA,6,1,0.0117473793087968
"m/1191742_changeling","","False","The Sun (UK)","Fresh","5/5","2008-11-28","You will never see a film which so well proves the adage that fact is stranger than fiction.",NA,10,1,1.74276398395645
"m/1192193-life_is_a_bed_of_roses","","True","Time Out","Fresh","","2007-06-30","Resnais speculates on the utopian dream that life is infinitely perfectable, that human chaos, despair and horror can be spirited or educated out of existence. There are two stories, to correspond to each of these possibilities.",NA,NA,1,NA
"m/1192193-life_is_a_bed_of_roses","","False","TV Guide","Fresh","3/4","2010-06-21","A unique and funny film from intellectual French director Resnais.",NA,7.5,1,0.660878606051666
"m/1192255-1192255-what_love_is","","True","Hollywood Reporter","Rotten","","2007-03-23","Someone tell writer-director Mars Callahan what a movie is.",NA,NA,0,NA
"m/1192358-1192358-no_smoking","","False","The Sun (UK)","Rotten","1/5","2007-10-26","No Smoking doesn't kill anything - not even time.",NA,2,0,-1.71926922533885
"m/1192616-mister_lonely","","False","The Sun (UK)","Rotten","2/5","2008-03-14","Overall, this is frustrating arthouse stuff and Mister Lonely is unlikely to find any friends at Britain's multiplexes.",NA,4,0,-0.853760923015028
"m/1192616-mister_lonely","","True","St. Louis Post-Dispatch","Rotten","","2008-10-18","","C-",2,0,-1.71926922533885
"m/1192616-mister_lonely","","False","National Post","Fresh","3/4","2008-10-18","",NA,7.5,1,0.660878606051666
"m/1192938-smart_people","","False","Bullz-Eye.com","Fresh","3.5/5","2008-10-18","",NA,7,1,0.444501530470709
"m/1193203-cottage","","False","The Sun (UK)","Rotten","2/5","2008-03-14","It's a rural retreat to base jokes - and it needed to be a lot cleverer than this to make it a glorious retreat.",NA,4,0,-0.853760923015028
"m/1193203-cottage","","False","Daily Mirror (UK)","Fresh","4/5","2008-03-14","From the miasma of mediocrity known as modern British horror emerges a low-budget fright film that deserves to be remembered alongside homegrown classics such as Shaun Of The Dead.",NA,8,1,0.877255681632622
"m/1193203-cottage","","False","Total Film","Fresh","3/5","2008-03-14","If you loved L2B's social-realist integrity, you'll be bemused by Williams' 180-degree turn into Guignol and gut-busting. A labour of love that's sometimes plain laboured, but a stronger, splattery second half will curry favour with gorehounds.",NA,6,1,0.0117473793087968
"m/1193230-state_of_play","","False","The Sun (UK)","Fresh","4/5","2009-04-24","Whether you saw the TV programme or not, State Of Play remains a great murder mystery which should not be missed.",NA,8,1,0.877255681632622
"m/1193230-state_of_play","","False","Scotsman","Fresh","4/5","2009-04-24","Nerves will be racked and I guarantee genuine edge of your seat moments. You may even wonder if Crowe will make it through to the bombshell twist of an ending. This State of Play is excellent.",NA,8,1,0.877255681632622
